Player ID,First Name,Last Name,Position,Cost,Team,Total points,Goals scored,Assists,Clean sheets,Points per game rank,Value form,Value season,ICT Index,Expected goals,Expected assists,Expected goal involvements,Influence rank,Form rank,Player form,In dream team,News,Chance of playing next round,Points per game,ICT Index rank,Expected goals per 90,Expected assists per 90,Strength overall home,Strength overall away,team,team_code,PlayerID,Gameweek 8,Gameweek 9,Gameweek 10,Gameweek 11,Gameweek 12,Gameweek 13,Gameweek 14,Gameweek 15,Gameweek 16,Gameweek 17,Gameweek 18,Gameweek 19,Gameweek 20,Gameweek 21,Gameweek 22,Gameweek 23,Gameweek 24,Gameweek 25,Gameweek 26,Gameweek 27,Gameweek 28,Gameweek 29,Gameweek 30,Gameweek 31,Gameweek 32,Gameweek 33,Gameweek 34,Gameweek 35,Gameweek 36,Gameweek 37,Gameweek 38,Difficulty_score,Fixture Difficulty Index,full_name
1,Fábio,Ferreira Vieira,MID,54,Arsenal,0,0,0,0,652,0.0,0.0,0.0,0.00,0.00,0.00,650,644,0.0,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,0.0,652,0.0,0.0,1350,1375,1,3,1,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Fábio Ferreira Vieira
2,Gabriel,Fernando de Jesus,FWD,68,Arsenal,3,0,0,0,415,0.1,0.4,7.9,0.49,0.06,0.55,347,303,0.7,False,,100.0,0.6,281,0.57,0.07,1350,1375,1,3,2,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.037,Gabriel Fernando de Jesus
3,Gabriel,dos Santos Magalhães,DEF,62,Arsenal,39,2,0,3,21,0.5,6.3,39.6,1.47,0.15,1.62,19,87,3.3,True,,,5.6,39,0.21,0.02,1350,1375,1,3,3,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.174,Gabriel dos Santos Magalhães
4,Kai,Havertz,FWD,83,Arsenal,40,4,1,3,18,0.6,4.8,61.9,4.29,0.20,4.49,16,35,5.3,False,Knee injury - 75% chance of playing,75.0,5.7,9,0.61,0.03,1350,1375,1,3,4,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.279,Kai Havertz
5,Karl,Hein,GK,40,Arsenal,0,0,0,0,473,0.0,0.0,0.0,0.00,0.00,0.00,466,405,0.0,False,Loaned to Real Valladolid,0.0,0.0,470,0.0,0.0,1350,1375,1,3,5,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Karl Hein
6,Jurriën,Timber,DEF,55,Arsenal,19,0,1,2,102,0.4,3.5,21.8,0.28,0.17,0.45,158,158,2.0,False,Muscle injury - 75% chance of playing,75.0,3.2,133,0.06,0.03,1350,1375,1,3,6,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.105,Jurriën Timber
7,Jorge Luiz,Frello Filho,MID,48,Arsenal,4,0,0,1,212,0.1,0.8,2.7,0.04,0.14,0.18,389,272,0.7,False,,,2.0,360,0.02,0.08,1350,1375,1,3,7,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.037,Jorge Luiz Frello Filho
8,Jakub,Kiwior,DEF,48,Arsenal,2,0,0,0,357,0.1,0.4,0.8,0.00,0.00,0.00,375,278,0.7,False,,,1.0,405,0.0,0.0,1350,1375,1,3,8,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.037,Jakub Kiwior
9,Gabriel,Martinelli Silva,MID,70,Arsenal,34,2,2,3,33,1.1,4.9,46.8,1.05,1.39,2.44,47,6,8.0,False,,,4.9,27,0.22,0.29,1350,1375,1,3,9,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.421,Gabriel Martinelli Silva
12,Ethan,Nwaneri,MID,45,Arsenal,2,0,0,0,340,0.1,0.4,4.1,0.02,0.16,0.18,343,320,0.3,False,,,1.0,333,0.2,1.6,1350,1375,1,3,12,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.016,Ethan Nwaneri
